,underlying_price,underlying_index,timestamp,stats,state,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,settlement_price,option_type
186,37321.87,SYN.BTC-27AUG21,1623313099060,"{'volume': 1.1, 'price_change': 40.0, 'low': 0.01, 'high': 0.0145}",open,1413.0,0.0001,0.053,0.0120761,97.5,0.014,0.0,BTC-27AUG21-80000-C,36881.67,"{'vega': 23.48598, 'theta': -14.68133, 'rho': 4.7201, 'gamma': 1e-05, 'delta': 0.07127}",36881.67,31781521626,"[[0.011, 31.0], [0.0105, 10.1], [0.01, 8.0], [0.0065, 17.0], [0.006, 20.0], [0.001, 0.6], [0.0005, 0.3]]",95.74,0.011,31.0,0.013,8.0,"[[0.013, 8.0], [0.0135, 9.2], [0.014, 1.0], [0.0145, 21.1], [0.016, 17.0], [0.0165, 1.0], [0.018, 50.0], [0.0205, 1.0], [0.08, 0.2]]",98.93,0.01,C
187,37321.87,SYN.BTC-27AUG21,1623313099060,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.332,0.433,0.37431643,104.38,,0.0,BTC-27AUG21-25000-C,36881.67,"{'vega': 38.75476, 'theta': -25.93581, 'rho': 38.5742, 'gamma': 1e-05, 'delta': 0.85808}",36881.67,31781285677,"[[0.342, 9.0], [0.0005, 0.3]]",67.39,0.342,9.0,0.406,9.0,"[[0.406, 9.0]]",132.92,0.38,C
188,37594.6,BTC-24SEP21,1623313112156,"{'volume': 7.8, 'price_change': -18.3007, 'low': 0.125, 'high': 0.153}",open,892.3,0.07,0.2065,0.12446917,96.6,0.125,0.0,BTC-24SEP21-32000-P,36881.51,"{'vega': 68.70885, 'theta': -31.312, 'rho': -44.63479, 'gamma': 2e-05, 'delta': -0.28441}",36881.51,31781520940,"[[0.1235, 0.8], [0.123, 1.6], [0.1225, 1.0], [0.118, 10.0], [0.0845, 0.4], [0.0365, 0.1], [0.001, 5.0], [0.0005, 0.1]]",96.07,0.1235,0.8,0.1275,1.9,"[[0.1275, 1.9], [0.128, 0.3], [0.1285, 10.0], [0.129, 0.5], [0.236, 0.5], [0.27, 0.1], [0.3005, 0.5], [0.42, 7.0], [0.6265, 0.1], [2.45, 0.8]]",98.26,0.12,P
189,36861.33,BTC-18JUN21,1623313100067,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,24.4,0.0001,0.015,0.0002898,141.78,0.0005,0.0,BTC-18JUN21-65000-C,36882.56,"{'vega': 0.74161, 'theta': -6.58209, 'rho': 0.03532, 'gamma': 0.0, 'delta': 0.00467}",36882.56,31781390616,[],0.0,0.0,0.0,0.0005,0.1,"[[0.0005, 0.1], [0.001, 19.0], [0.0015, 3.0], [0.002, 0.2], [0.0045, 0.1], [0.0065, 6.0]]",150.24,0.0,C
190,38904.54,BTC-25MAR22,1623313113158,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,253.2,0.0835,0.28,0.15955858,96.37,0.141,0.0,BTC-25MAR22-70000-C,36881.76,"{'vega': 133.34487, 'theta': -22.31083, 'rho': 73.23458, 'gamma': 1e-05, 'delta': 0.39814}",36881.76,31781508187,"[[0.154, 9.0], [0.15, 13.0], [0.11, 1.0], [0.089, 0.4], [0.001, 5.0]]",94.75,0.154,9.0,0.166,10.8,"[[0.166, 10.8], [0.167, 13.0], [0.25, 0.5], [0.253, 0.5], [0.436, 1.0]]",98.25,0.16,C
191,36897.62,BTC-25JUN21,1623313100068,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,367.3,0.0001,0.015,3.94e-06,201.24,0.0005,0.0,BTC-25JUN21-8000-P,36882.56,"{'vega': 0.01208, 'theta': -0.08107, 'rho': -0.00065, 'gamma': 0.0, 'delta': -4e-05}",36882.56,31781502429,[],0.0,0.0,0.0,0.0005,10.1,"[[0.0005, 10.1], [0.001, 2.1], [0.0015, 1.0], [0.002, 1.0], [0.005, 12.6], [0.008, 19.0], [0.0085, 2.0], [0.009, 1.0], [0.0095, 0.9], [0.01, 5.1], [0.0125, 1.0], [0.015, 0.1], [0.05, 0.1], [0.1, 0.1]]",298.56,0.0,P
192,36851.45,BTC-11JUN21,1623313100070,"{'volume': 6.5, 'price_change': 40.3509, 'low': 0.0855, 'high': 0.1235}",open,23.2,0.105,0.1725,0.13292366,156.3,0.12,0.0,BTC-11JUN21-32000-C,36882.56,"{'vega': 1.57687, 'theta': -123.22925, 'rho': 0.82682, 'gamma': 3e-05, 'delta': 0.96222}",36882.56,31781518921,"[[0.129, 1.0], [0.0485, 2.5], [0.044, 0.1], [0.0015, 101.1], [0.0005, 0.1]]",0.0,0.129,1.0,0.1345,1.0,"[[0.1345, 1.0], [0.252, 2.0]]",185.32,0.14,C
193,36897.62,BTC-25JUN21,1623313100068,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,185.7,0.7685,0.798,0.78319225,201.24,0.7605,0.0,BTC-25JUN21-8000-C,36882.56,"{'vega': 0.01208, 'theta': -0.08107, 'rho': 3.28429, 'gamma': 0.0, 'delta': 0.99996}",36882.56,31781521390,"[[0.7795, 20.0], [0.779, 6.0]]",0.0,0.7795,20.0,0.7855,14.7,"[[0.7855, 14.7], [0.787, 6.0]]",365.12,0.78,C
194,38315.64,BTC-31DEC21,1623313100067,"{'volume': 1.8, 'price_change': 0.8, 'low': 0.125, 'high': 0.127}",open,2161.4,0.061,0.232,0.12590527,96.47,0.126,0.0,BTC-31DEC21-64000-C,36882.56,"{'vega': 107.45282, 'theta': -25.4074, 'rho': 50.74253, 'gamma': 1e-05, 'delta': 0.36287}",36882.56,31781519600,"[[0.123, 0.5], [0.1175, 2.5], [0.117, 13.0], [0.1125, 1.0], [0.1, 0.1], [0.0925, 2.0], [0.09, 0.2], [0.075, 0.5], [0.0685, 0.4], [0.001, 5.0]]",95.43,0.123,0.5,0.1285,1.4,"[[0.1285, 1.4], [0.1295, 13.0], [0.229, 10.0], [0.502, 2.0], [0.6, 11.2]]",97.39,0.13,C
195,36929.03,SYN.BTC-2JUL21,1623313100068,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.442,0.49,0.46151193,135.42,,0.0,BTC-2JUL21-20000-C,36882.56,"{'vega': 4.78346, 'theta': -14.73013, 'rho': 11.48679, 'gamma': 0.0, 'delta': 0.97786}",36882.56,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0,,C
196,36862.22,BTC-18JUN21,1623313100071,"{'volume': 353.3, 'price_change': 50.0, 'low': 0.006, 'high': 0.016}",open,825.6,0.0001,0.0465,0.01124659,87.31,0.0105,0.0,BTC-18JUN21-42000-C,36882.56,"{'vega': 13.91017, 'theta': -76.02062, 'rho': 1.29791, 'gamma': 5e-05, 'delta': 0.17214}",36882.56,31781522009,"[[0.011, 5.7], [0.0105, 12.7], [0.01, 10.0], [0.0085, 0.4], [0.008, 33.0], [0.0075, 6.0], [0.005, 8.5], [0.003, 0.1], [0.002, 1.5], [0.0005, 14.3]]",86.65,0.011,5.7,0.012,14.4,"[[0.012, 14.4], [0.0125, 27.9], [0.013, 1.8], [0.0135, 2.6], [0.015, 30.0], [0.0165, 0.1], [0.018, 0.5], [0.02, 1.0], [0.025, 0.5], [0.03, 1.0], [0.041, 0.7]]",89.28,0.01,C
